mol_smi,bbs_smi
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccc(-n2cccc2)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc(-n2cccc2)cc1
COc1ccccc1[C@@H]1CCCC(=O)N1Cc1ccc2ccccc2c1,[*]c1ccccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc2ccccc2c1
COc1cccc(OC)c1[C@@H]1CC(C)(C)CC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CC(C)(C)CC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccc(-n2cccn2)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc(-n2cccn2)cc1
COc1cc(OC)c([C@@H]2CCC(=O)N2Cc2ccc(OC(F)(F)F)cc2)c(OC)c1,[*]c1c(OC)cc(OC)cc1OC.[*][C@]1([H])CCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccccc1-c1ccccc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccccc1-c1ccccc1
COc1cccc(OC)c1[C@@H]1C[C@@H](N)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@@]([H])(N)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccc2c(c1)CCCN2,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc2c(c1)CCCN2
COc1cccc(OC)c1[C@@H]1[C@@H](NC(=O)OCc2ccccc2)CCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@@]1([H])N([*])C(=O)CC[C@]1([H])NC(=O)OCc1ccccc1.[*]Cc1ccc(OC(F)(F)F)cc1
COC[C@H]1CCC(=O)N(Cc2ccc(OC(F)(F)F)cc2)[C@@H]1c1c(OC)cccc1OC,[*]c1c(OC)cccc1OC.[*][C@@]1([H])N([*])C(=O)CC[C@]1([H])COC.[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1[C@@H](CO)CC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@@]1([H])N([*])C(=O)C[C@]1([H])CO.[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1[C@@H](CO)CCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@@]1([H])N([*])C(=O)CC[C@]1([H])CO.[*]Cc1ccc(OC(F)(F)F)cc1
COC(=O)[C@H]1CC(=O)N(Cc2ccc(OC(F)(F)F)cc2)[C@@H]1c1c(OC)cccc1OC,[*]c1c(OC)cccc1OC.[*][C@@]1([H])N([*])C(=O)C[C@]1([H])C(=O)OC.[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccc2nonc2c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc2nonc2c1
